0	0	10000	
1	175	9998	
2	349	9994	
3	523	9986	
4	698	9976	
5	872	9962	
6	1045	9945	
7	1219	9925	
8	1392	9903	
9	1564	9877	
10	1736	9848	
11	1908	9816	
12	2079	9781	
13	2250	9744	
14	2419	9703	
15	2588	9659	
16	2756	9613	
17	2924	9563	
18	3090	9511	
19	3256	9455	
20	3420	9397	
21	3584	9336	
22	3746	9272	
23	3907	9205	
24	4067	9135	
25	4226	9063	
26	4384	8988	
27	4540	8910	
28	4695	8829	
29	4848	8746	
30	5000	8660	
31	5150	8572	
32	5299	8480	
33	5446	8387	
34	5592	8290	
35	5736	8192	
36	5878	8090	
37	6018	7986	
38	6157	7880	
39	6293	7771	
40	6428	7660	
41	6561	7547	
42	6691	7431	
43	6820	7314	
44	6947	7193	
45	7071	7071	
46	7193	6947	
47	7314	6820	
48	7431	6691	
49	7547	6561	
50	7660	6428	
51	7771	6293	
52	7880	6157	
53	7986	6018	
54	8090	5878	
55	8192	5736	
56	8290	5592	
57	8387	5446	
58	8480	5299	
59	8572	5150	
60	8660	5000	
61	8746	4848	
62	8829	4695	
63	8910	4540	
64	8988	4384	
65	9063	4226	
66	9135	4067	
67	9205	3907	
68	9272	3746	
69	9336	3584	
70	9397	3420	
71	9455	3256	
72	9511	3090	
73	9563	2924	
74	9613	2756	
75	9659	2588	
76	9703	2419	
77	9744	2250	
78	9781	2079	
79	9816	1908	
80	9848	1736	
81	9877	1564	
82	9903	1392	
83	9925	1219	
84	9945	1045	
85	9962	872	
86	9976	698	
87	9986	523	
88	9994	349	
89	9998	175	
90	10000	0	
